"Pimgento_Api::%1$s attribute does not exist","%1$s attribute does not exist"
"Pimgento_Api::%d family(ies) attribute relation(s) inserted","%d family(ies) attribute relation(s) inserted"
"Pimgento_Api::%d family(ies) initialized","%d family(ies) initialized"
"Pimgento_Api::%d family(ies) inserted","%d family(ies) inserted"
"Pimgento_Api::%d line(s) found","%d line(s) found"
"Pimgento_Api::%s product(s) with default family. Please try to import families.","%s product(s) with default family. Please try to import families."
"Pimgento_Api::Activate new categories","Activate new categories"
"Pimgento_Api::Add 'pim_' prefix to attribute codes reserved by Magento. If disabled reserved attributes will be ignored (e.g.: collection)","Add 'pim_' prefix to attribute codes reserved by Magento. If disabled reserved attributes will be ignored (e.g.: collection)"
"Pimgento_Api::Add columns to product model table","Add columns to product model table"
"Pimgento_Api::Add or update attributes","Add or update attributes"
"Pimgento_Api::Add or update data in product model table","Add or update data in product model table"
"Pimgento_Api::Add","Add"
"Pimgento_Api::Additional types","Additional types"
"Pimgento_Api::Admin Website Channel","Admin Website Channel"
"Pimgento_Api::Advanced","Advanced"
"Pimgento_Api::Advanced Filter","Advanced Filter"
"Pimgento_Api::Advanced filters contain an unauthorized scope, please add check your filters and website mapping.","Advanced filters contain an unauthorized scope, please add check your filters and website mapping."
"Pimgento_Api::After","After"
"Pimgento_Api::Akeneo Api check successful","Akeneo Api check successful"
"Pimgento_Api::Akeneo Api client instantiation failed: %s","Akeneo Api client instantiation failed: %s"
"Pimgento_Api::Akeneo client authentication failed","Akeneo client authentication failed"
"Pimgento_Api::Akeneo Url","Akeneo Url"
"Pimgento_Api::Akeneo Version","Akeneo Version"
"Pimgento_Api::Set new categories in anchor mode","Set new categories in anchor mode"
"Pimgento_Api::API Credentials","API Credentials"
"Pimgento_Api::Api test failed: %s","Api test failed: %s"
"Pimgento_Api::Asset import is not enabled","Asset import is not enabled"
"Pimgento_Api::Associate options to attributes","Associate options to attributes"
"Pimgento_Api::Associate values to options","Associate values to options"
"Pimgento_Api::Attribute %s skipped because of reserved Magento code","Attribute %s skipped because of reserved Magento code"
"Pimgento_Api::Attribute %s skipped because of system reserved attribute code","Attribute %s skipped because of system reserved attribute code"
"Pimgento_Api::Attribute %s was not found. Please try re-importing attributes.","Attribute %s was not found. Please try re-importing attributes."
"Pimgento_Api::Attribute code %s is reserved, options bypassed","Attribute code %s is reserved, options bypassed"
"Pimgento_Api::Attribute Option Settings","Attribute Option Settings"
"Pimgento_Api::Attribute Options","Attribute Options"
"Pimgento_Api::Attribute Settings","Attribute Settings"
"Pimgento_Api::Attribute","Attribute"
"Pimgento_Api::Attributes created/updated successfully.","Attributes created/updated successfully."
"Pimgento_Api::Attributes Mapping","Attributes Mapping"
"Pimgento_Api::Autoloader file %s doesn't exist or is not readable","Autoloader file %s doesn't exist or is not readable"
"Pimgento_Api::Base Url","Base Url"
"Pimgento_Api::Before","Before"
"Pimgento_Api::Between","Between"
"Pimgento_Api::Cache cleaned: %s","Cache cleaned: %s"
"Pimgento_Api::Cache cleaning is disabled","Cache cleaning is disabled"
"Pimgento_Api::Cache Selection","Cache Selection"
"Pimgento_Api::Categories positions set","Categories positions set"
"Pimgento_Api::Category children count successful","Category children count successful"
"Pimgento_Api::Category entities created and updated","Category entities created and updated"
"Pimgento_Api::Category Settings","Category Settings"
"Pimgento_Api::Category tree level set","Category tree level set"
"Pimgento_Api::Category Url keys generated","Category Url keys generated"
"Pimgento_Api::Category Url set successfully","Category Url set successfully"
"Pimgento_Api::Category","Category"
"Pimgento_Api::Channel","Channel"
"Pimgento_Api::Child categories count","Child categories count"
"Pimgento_Api::Class %s doesn't exist","Class %s doesn't exist"
"Pimgento_Api::Clear cache after each import","Clear cache after each import"
"Pimgento_Api::Clear cache","Clear cache"
"Pimgento_Api::Client ID","Client ID"
"Pimgento_Api::Column %s does not exist in temp table","Column %s does not exist in temp table"
"Pimgento_Api::Column %s not found","Column %s not found"
"Pimgento_Api::Column categories not found","Column categories not found"
"Pimgento_Api::Column family is missing","Column family is missing"
"Pimgento_Api::Column groups not found.","Column groups not found."
"Pimgento_Api::Column parent not found, trying to find groups column instead.","Column parent not found, trying to find groups column instead."
"Pimgento_Api::Columns dropped successfully","Columns dropped successfully"
"Pimgento_Api::Columns successfully created","Columns successfully created"
"Pimgento_Api::Community","Community"
"Pimgento_Api::Completeness Channel","Completeness Channel"
"Pimgento_Api::Completeness Locales","Completeness Locales"
"Pimgento_Api::Completeness type","Completeness type"
"Pimgento_Api::Completeness value","Completeness value"
"Pimgento_Api::Completeness","Completeness"
"Pimgento_Api::Configurable attributes","Configurable attributes"
"Pimgento_Api::Could not add families","Could not add families"
"Pimgento_Api::Could not add family attribute relations","Could not add family attribute relations"
"Pimgento_Api::Could not find family variant in Akeneo","Could not find family variant in Akeneo"
"Pimgento_Api::Could not initialize attribute sets","Could not initialize attribute sets"
"Pimgento_Api::Could not insert Category data in temp table","Could not insert Category data in temp table"
"Pimgento_Api::Could not insert Attribute data in temp table","Could not insert Attribute data in temp table"
"Pimgento_Api::Could not insert Family data in temp table","Could not insert Family data in temp table"
