"Task_Example::An error has occurred but the following steps can be performed","An error has occurred but the following steps can be performed"
"Task_Example::Checkbox:","Checkbox:"
"Task_Example::Custom comment","Custom comment"
"Task_Example::Custom text 1:","Custom text 1:"
"Task_Example::Custom text 2:","Custom text 2:"
"Task_Example::Custom text:","Custom text:"
"Task_Example::Excute with multiselect option.","Excute with multiselect option."
"Task_Example::Execute step 1","Execute step 1"
"Task_Example::Execute step 2","Execute step 2"
"Task_Example::Execute step 3","Execute step 3"
"Task_Example::Hidden text","Hidden text"
"Task_Example::My custom message after step 3","My custom message after step 3"
"Task_Example::Radio:","Radio:"
"Task_Example::Select Stores:","Select Stores:"
"Task_Example::Select Website:","Select Website:"
"Task_Example::Select Websites:","Select Websites:"
"Task_Example::Task Example: All Options","Task Example: All Options"
"Task_Example::Task Example: Button","Task Example: Button"
"Task_Example::Task Example: File and Text","Task Example: File and Text"
"Task_Example::Upload File and set text options.","Upload File and set text options."
