"Task_Log::Action","Action"
"Task_Log::Are you sure?","Are you sure?"
"Task_Log::Back","Back"
"Task_Log::Command","Command"
"Task_Log::Console","Console"
"Task_Log::Created At","Created At"
"Task_Log::CSV","CSV"
"Task_Log::Delete","Delete"
"Task_Log::Error","Error"
"Task_Log::Id","Id"
"Task_Log::Log","Log"
"Task_Log::Please select task(s).","Please select task(s)."
"Task_Log::Processing","Processing"
"Task_Log::Status","Status"
"Task_Log::Success","Success"
"Task_Log::Task #%s","Task #%s"
"Task_Log::Task Logs","Task Logs"
"Task_Log::Task","Task"
"Task_Log::Tasks","Tasks"
"Task_Log::Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Task_Log::User","User"
"Task_Log::View","View"
"Task_Log::XML Excel","XML Excel"
"Task_Log::XML","XML"
