"Task_Profile::Action","Action"
"Task_Profile::Are you sure?","Are you sure?"
"Task_Profile::Back","Back"
"Task_Profile::Command is required.","Command is required."
"Task_Profile::Command","Command"
"Task_Profile::CSV","CSV"
"Task_Profile::Delete","Delete"
"Task_Profile::Edit","Edit"
"Task_Profile::File:","File:"
"Task_Profile::Id","Id"
"Task_Profile::Name is required.","Name is required."
"Task_Profile::Name","Name"
"Task_Profile::No task was found","No task was found"
"Task_Profile::None","None"
"Task_Profile::Options","Options"
"Task_Profile::Please select profile(s).","Please select profile(s)."
"Task_Profile::Profile name:","Profile name:"
"Task_Profile::Profile","Profile"
"Task_Profile::Profile:","Profile:"
"Task_Profile::Save","Save"
"Task_Profile::Task Profiles","Task Profiles"
"Task_Profile::Tasks","Tasks"
"Task_Profile::This profile no longer exists.","This profile no longer exists."
"Task_Profile::Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Task_Profile::XML Excel","XML Excel"
"Task_Profile::XML","XML"
