"Task_Log::Action","Action"
"Task_Log::Are you sure?","Etes-vous sur?"
"Task_Log::Back","Retour"
"Task_Log::Command","Commande"
"Task_Log::Console","Console"
"Task_Log::Created At","Créé le"
"Task_Log::CSV","CSV"
"Task_Log::Delete","Supprimer"
"Task_Log::Error","Erreur"
"Task_Log::Id","Id"
"Task_Log::Log","Log"
"Task_Log::Please select task(s).","Merci de sélectionner une/des tâche(s)."
"Task_Log::Processing","En cours"
"Task_Log::Status","Statut"
"Task_Log::Success","Succès"
"Task_Log::Task #%s","Tâche #%s"
"Task_Log::Task Logs","Logs des tâches"
"Task_Log::Task","Tâche"
"Task_Log::Tasks","Tâches"
"Task_Log::Total of %d record(s) have been deleted.","%d ligne(s) supprimée(s)."
"Task_Log::User","Utilisateur"
"Task_Log::View","Voir"
"Task_Log::XML Excel","XML Excel"
"Task_Log::XML","XML"
