"Task_Profile::Action","Action"
"Task_Profile::Are you sure?","Etes-vous sûr ?"
"Task_Profile::Back","Retour"
"Task_Profile::Command is required.","La commande est requise."
"Task_Profile::Command","Commande"
"Task_Profile::CSV","CSV"
"Task_Profile::Delete","Supprimer"
"Task_Profile::Edit","Editer"
"Task_Profile::File:","Fichier:"
"Task_Profile::Id","Id"
"Task_Profile::Name is required.","Le nom est requis."
"Task_Profile::Name","Nom"
"Task_Profile::No task was found","Aucune tâche n'a été trouvée"
"Task_Profile::None","Aucun"
"Task_Profile::Options","Options"
"Task_Profile::Please select profile(s).","Merci de sélectionner les profil(s)."
"Task_Profile::Profile name:","Nom du profil:"
"Task_Profile::Profile","Profile"
"Task_Profile::Profile:","Profil:"
"Task_Profile::Save","Sauvegarder"
"Task_Profile::Task Profiles","Profil des tâches"
"Task_Profile::Tasks","Tâches"
"Task_Profile::This profile no longer exists.","Ce profil n'existe plus."
"Task_Profile::Total of %d record(s) have been deleted.","%d lignes(s) ont été supprimée(s)."
"Task_Profile::XML Excel","XML Excel"
"Task_Profile::XML","XML"
